Total attrs: 57375
past greats	过去的伟人
mobile number	移动号码
specialist status	专家身份
myr	万年
population_density_mi1	population_density_mi1
population_density_mi2	population_density_mi2
hon. curate	亲爱的。牧师
KARTE-BREITE	karte-breite
abbot	方丈
faculty-student ratio	教师学生比例
Markierungszeichen	markierungszeichen
skylinesize	skylinesize
Electronics	数码产品
posttitle	posttitle
Previous council	上一局
ground clearance	接地间隙
running gauge	运行规范
co producers	合作生产者
mun_data_as_of	mun_data_as_of
goalkeepr	goalkeepr
fans_versus_favorites_israel	fans_versus_favorites_israel
Lead Role	铅作用
Graduate Manager	研究生管理
Appearance(s)	外观（的）
topgame	TopGame
Fastest_lap	fastest_lap
Rate of Return	收益率
Banner	旗帜
strategic_advisor	strategic_advisor
coachyears	coachyears
president 2	总统2
dean, Medical School	医学院院长
Ship suspended	船吊
other_name(s)	other_name（S）
Sitz	坐浴
ditributor	经销商英国
date2_name	date2_name
low-end	低端
Made by	由
Housing	住房
marrieddate	marrieddate
place name	地名
comictype	comictype
preceded_by	preceded_by
corporate office	公司办公室
Director of Marketing	营销总监
Toll	收费
Genes introduced	基因介绍
Equipment(s)	设备（设备）
wMVP	wmvp
Born:	出生：
Returned to era?	回到时代？
title_color	title_color
active_since	active_since
nationalyearsJ1	nationalyearsj1
winner-pro	赢家
reign1-type	reign1型
martial status	军事地位
survivors	幸存者
Official Fan Club	官方粉丝俱乐部
essences	精华
P.O.B	出生
Write mechanism	写机制
1stishhead5	1stishhead5
1stishhead4	1stishhead4
cable serv 7	有线电视服务7
cable serv 6	有线电视服务6
Corporate site	公司网站
1stishhead3	1stishhead3
1stishhead2	1stishhead2
First appearance	第一次出现
distance3	距离
ebsite	网站
no_conf_champs	no_conf_champs
headmistress Junior Branch	初中部校长
High. Attend.	高。参加。
sports league	体育联盟
gmt_offset1	gmt_offset1
co founded by	共同创立
schools	学校
ActingExecutiveDirector	actingexecutivedirector
Japanese voice actor	日本配音演员
prize	奖
Voivodeship sejmik	省sejmik
web Tv	网络电视
About Us	关于我们
Habitat	栖息地
BRITN	britn
icc_region	icc_region
referenceJournal	referencejournal
mixeddoublesresults	mixeddoublesresults
ahc_year	ahc_year
(founded)	（成立）
nongregorian	nongregorian
gujarati	古吉拉特语
final_four_MVP	final_four_mvp
alt-boostername	ALT boostername
Primary deity:	原神：
Image 2 caption	图像2标题
lon_min	lon_min
max_boat_beam	max_boat_beam
EmmyN	emmyn
:Other rabbinic codes	其他的代码：
assets_year	assets_year
Current Champion	现任冠军
Location map	位置图
EmmyW	emmyw
Departement	部
h2-length	氢气长度
FinalFourCity	finalfourcity
lowest_name	lowest_name
curation	策展
k	K
past_current_color	past_current_color
group founder	集团创始人
cite statutes at large	在大
is_explosive	is_explosive
World Number 1	世界排名1
Derby of the eternal enemies	永恒的敌人的德比
Colour3Hex	colour3hex
Number of bars	条形数
Resort type	度假型
head of production	生产主管
popular slogan	流行口号
first_minister	first_minister
Chromatic number	色数
SAT average	坐平均
Img Size	IMG大小
title_leader	title_leader
CWL Foundation President	该基金会主席
Wait_lbs	wait_lbs
lastdate1	lastdate1
lastdate3	lastdate3
replace	更换
boxingkowins	boxingkowins
reservoirs	水库
letterers	letterers
opponents	对手
available_f	available_f
built up Area	建区
Partially deleted	部分删除
Sound Design	声音设计
browse	浏览
production Company	公司生产的
second unit director	二单元董事
points12	points12
points10	points10
Levels	水平
patent originator	专利发起人
points14	points14
designation8_date	designation8_date
Born.	出生。
captionoffice	captionoffice
assists4	assists4
Head of Coll.	头大。
assists1	assists1
assists2	assists2
Creation date	创建日期
otherroles1	otherroles1
otherroles2	otherroles2
otherroles3	otherroles3
classification_color	classification_color
postal c	邮政
Ship age	船舶年龄
conference10_ap_poll	conference10_ap_poll
opponent4	opponent4
opponent5	opponent5
opponent6	opponent6
Ironman World Championships	铁人世界锦标赛
stadsrechten	stadsrechten
opponent2	opponent2
opponent3	在
postal_type	postal_type
focal_ratio	focal_ratio
Imports	进口
title theme	标题主题
RTO Office:	RTO的办公室：
AP_per_student	ap_per_student
SemiCount1	semicount1
Professors	教授
cup winners cup	优胜者杯
Fahrleistung	fahrleistung
Associate Vice President	副总裁
LeagueRank	leaguerank
demographics2_title1	demographics2_title1
other_years	other_years
shortdescription	shortdescription
example	例子
championsynchro	championsynchro
Co-Creator	共同创造者
International call prefix	国际呼叫前缀
champxd	champxd
elev_max_m	elev_max_m
Series producer	系列生产
Points against	点反对
online_series_creator	online_series_creator
Concessions	让步
PlayoffWins	playoffwins
lat min	LAT min
area_sq_mi	area_sq_mi
demographics2_title6	demographics2_title6
Einwohner	户
demographics2_title3	demographics2_title3
demographics2_title2	demographics2_title2
type5	type5
type4	4
Defensive POY	防守POY
type1	1型
type3	3
type2	2型
percentage9	percentage9
CFHOF	cfhof
School anthem	学校国歌
Misc Misc	其他杂项
at social media	在社交媒体
feature	特征
postdoc_advisors (M.I.T.)	postdoc_advisors（麻省理工学院）
church warden	教会监狱长
Ship well capacity	船舶容量
Date built	建造日期
Total ship lost	船舶总损失
Scoville scale	史高维尔指标
stepaunties	stepaunties
escudo7	escudo7
escudo4	escudo4
escudo5	escudo5
escudo2	escudo2
key_employees	key_employees
Players	球员
inspgen end 3	3年底inspgen
grandslamdoublesresult	grandslamdoublesresult
types	类型
Ship hull material	船体材料
Bridge effect	桥梁效应
Previous cathedrals	以前的教堂
executive_produce	executive_produce
currentdoublesrankings	currentdoublesrankings
number of features	特征数
part-time faculty	兼职教师
batles	batles
prevrests	prevrests
baggage	行李
logosize	logosize
past_or_occasional__members	past_or_occasional__members
Share of renewable energy	可再生能源的份额
num_staff	num_staff
Project manager	项目经理
previous_commander	previous_commander
command units	命令单位
otheroccupation	职业
orogeny1	orogeny1
map_size1	map_size1
businessmanager	商务经理
peak vehicles	峰值车辆
First Grade Assistant Coach	一级助理教练
Gross Area	总面积
Movement	运动
Regrouped	重组
Blocks	块
honorifics-suffix	敬语后缀
subside	消退
Malay	马来语
chamber1_leader5_type	chamber1_leader5_type
stadium	体育场
distribution network	配电网
subsids	停下
Student count senior school	高中生
department chairperson_label	部门chairperson_label
decay_mass	decay_mass
Officially Opened By	正式开幕
P.o.box	北京
pinyinname	pinyinname
Lyrcis	lyrcis
metro_system	metro_system
Main Telephone	主电话
worked	工作
bore_x_stroke	bore_x_stroke
Tonnage	吨位
Present owner	现拥有者
country claim capital city	国家要求首都
requiredFalsework	requiredfalsework
length of railway	铁路长度
prevlink	prevlink
mep_engineer	mep_engineer
Housing end	住宅终端
Bill Title 10	比尔标题10
Sound Recordist	录音师
company_tagline	company_tagline
Exec Producer	执行制片人
Co-presenter	共同主持人
passeddate2	passeddate2
Other disciplines	其他学科
can15-week	can15周
Sex Ratio	性别比例
Voice_Type	voice_type
Newsweek	新闻周刊
long min	长民
parishes	教区
primary years taught	小学教
subdivison_type3	subdivison_type3
CitationNew	citationnew
parished	parished
unveiled	亮相
Live in	生活在
nationateam-update	nationateam更新
s9	S9
s8	S8
nearest town	最近的城镇
s3	S3
s2	S2
s1	S1
s7	S7
s6	S6
stat2lable	stat2lable
s4	S4
sport7-men	sport7男人
work Institution	工作机构
Sernam start	事务的开始
1OptionName	1optionname
Fog Signal	雾信号
optimal	最优
dropgoalsA	dropgoalsa
yerasactive	yerasactive
average ACT scores (2006)	平均法评分（2006）
Maximum width	最大宽度
Homicide Commanding Officer	杀人的指挥官
league championships	联赛冠军
People Laid	人们奠定
child5_agency	child5_agency
dropgoals6	dropgoals6
county gaa	县GAA
dropgoals3	dropgoals3
Domestic_Partner	domestic_partner
tower height	塔高
Best Import	最佳进口
overseas_tournament	overseas_tournament
administrative staff	行政人员
Event_names	event_names
movie remake	电影改造
district_ward	district_ward
Decommission date	退役日期
base for	基地
sr	SR
pro bowlers	亲保龄球
sp	SP
Total super	超级超级
su	苏
st	ST
subcat1	subcat1
goals20	goals20
goals23	goals23
goals22	goals22
goals25	goals25
goals24	goals24
goals27	goals27
goals26	goals26
sc	SC
goals28	goals28
headquartere	headquartere
wing	翼
EINGEMEINDUNG	eingemeindung
wine	酒
Gene_year	gene_year
opposition_party	opposition_party
Primary schools	小学
rl_nationalyears	rl_nationalyears
next_hymnal	next_hymnal
coodinates	坐标
damage	损伤
significantother	重要他人
s5	S5
Olympic first	奥林匹克第一
QS World University Ranking	QS世界大学排名
Low floor section	低层段
EMS units	电磁搅拌装置
range_vehicle	range_vehicle
Major_Tenants	major_tenants
Alternative designations	替代名称
co-chairs	共同椅
hiehgt	树高
Depositaries	保存
placeofurial_label	placeofurial_label
renaming	重命名
Sister	妹妹
Classifications	分类
blank0_info_sec0	blank0_info_sec0
nation	国家
Harvesting year	采伐年
issue date	发行日期
coachyears9	coachyears9
coachyears8	coachyears8
coachyears7	coachyears7
coachyears6	coachyears6
Route availability	路由可用性
registration fee	登记费
coachyears3	coachyears3
coachyears2	coachyears2
Public Works end 2	公共工程2年底
Public Works end 3	公共工程3年底
date_birth	date_birth
designed by	设计
built for	建造
city of residence	居住城市
World tournament apps	世界锦标赛应用
Steuerungsart	steuerungsart
Winner trophy	冠军奖杯
multi-year wsop winner	多年的WSOP冠军
Service name	服务名称
reconfigured	重新配置
demo-cds	演示光盘
square	广场
last_version	last_version
deputy dean	副院长
Philanthropy	慈善事业
no_of_cities_towns	no_of_cities_towns
resingplace	resingplace
Cases/yr	例/年
Largest City	最大城市
neighbourhood	邻里
segment earnings	分部盈利
Added	添加
Deputy Chief	副总
designated_other3_color	designated_other3_color
location scout	位置侦察
air force	空军
lstatus	lstatus
Cave survey	洞穴调查
career_caps	career_caps
Article	第
next_members	next_members
predescessor	predescessor
major storms	大风暴
lyrics writer	歌词作者
Important festivals:	重要节日：
hosted_by	hosted_by
stage1afuel	stage1afuel
years acti	年活动
programs offered	提供的程序
Production Company	公司生产的
GP3_Season_No	gp3_season_no
rl_amateuryears	rl_amateuryears
recordings	录音
Most Prominent Player	最杰出的球员
mime	MIME
Course records	课程记录
mottoes	格言
patronage	赞助
assistant rector	校长助理
race2_2nd	race2_2nd
mma_koloss	mma_koloss
name_at_birth	name_at_birth
county mayor	县市长
Source plant(s)	源植物（的）
Technical Director	技术总监
Opening ceremony	开幕式
oper	歌剧院
lower_age	lower_age
dustributor	dustributor
Railway-station_code	railway-station_code
static_image_title	static_image_title
rl_coachyears	rl_coachyears
Used with	使用
blank_info1	blank_info1
construction_date	construction_date
open	打开
sisters channel	姐妹频道
region_map	region_map
main_drop	main_drop
city	城市
Derived from	来源于
student version	学生版
notable series	值得注意的系列
coat3	coat3
publicutil end	publicutil结束
coat4	coat4
country 3 claim	国家3索赔
manpower_date	manpower_date
USNWR_Political Science	usnwr_political科学
cite	引用
electric_polarizability	electric_polarizability
manpower_data	manpower_data
grand grand children	大孩子
pushpin_map_1	pushpin_map_1
ru_schoolyears	ru_schoolyears
2option color	2option颜色
child(ren)	儿童（人）
stage1adiff	stage1adiff
wcoach	wcoach
artist_name	artist_name
Deposits	存款
statvalue	statvalue
video_format	video_format
date_draft	date_draft
district_code	district_code
Last album	最后一张专辑
design company	设计公司
foot_notes	foot_notes
Europe Winner	欧洲冠军
num_bird_species	num_bird_species
map1_size	map1_size
assembly_const	assembly_const
flagcaption	flagcaption
chiefs arms	酋长武器
Businesses	企业
state championships	国家锦标赛
torch label	火炬标签
route_length	route_length
Liberated by	解放
MapSize	MAPSIZE
Notable ideas	显著的想法
masters_students	masters_students
argument	争论
allele1b	allele1b
court_name	court_name
buried	埋葬的
horsepower	马力
second-record	二次记录
nextseason	下个赛季
goals21	goals21
website athletics	网站体育
theater_honours	theater_honours
IRL_Podiums	irl_podiums
num_plant_species	num_plant_species
SUPERFAMILY	家族
arena_location	arena_location
weibo	微博
Year defined	年度定义
phosphorus_mg	phosphorus_mg
OffCoach	offcoach
Rallies	集会
score_champions	score_champions
Featured music	特色音乐
Party2	party2
olympicgolds	olympicgolds
Aquarium Timings	水族馆的时间
average	平均
Steep gradient	陡梯度
radiation SAR	辐射合成孔径雷达
Bevolkerungsdichte	bevolkerungsdichte
asst_coach	asst_coach
se	东南方
Catalog Number	目录号
Segegob start	segegob开始
email id	电子邮件标识
pushpin_marksize	pushpin_marksize
Genres	流派
population_as_of 2011/12	population_as_of 2011 / 12
restriction	限制
Current Principal	现任校长
population_density_urban	population_density_urban
plant badge	植物徽章
contact_address	contact_address
Systems	系统
Monounsaturated	单不饱和脂肪酸
transfer case	转移案例
child5agency	child5agency
state_minister1	state_minister1
current_conference	current_conference
STD_code	std_code
cupresult	cupresult
stunt choregraphy	特技舞蹈动作
elevação_m	电梯ção_m
passeddate4	passeddate4
passeddate3	passeddate3
draft_years	draft_years
passeddate1	passeddate1
Applied	应用
minister3name	minister3name
Genre3	genre3
Genre2	类型
rail_tracks	rail_tracks
youth_color	youth_color
assistant	助理
ChapmanCode	chapmancode
' rankingUSNWR	“rankingusnwr
architct	architct
Name in hieroglyphs	在象形文字的名字
CFLPAAllStar	cflpaallstar
Magazine	杂志
qa Manager	质量保证经理
clans	宗族
hill_name	hill_name
area_blank2_title	area_blank2_title
heighft	heighft
year levels	年级水平
num_captures	num_captures
asso dir	协会目录
date of first release	首次发布日期
annual visitors	年度访客
nbcomm	nbcomm
incidental music	附带音乐
priest	牧师
burail_place	burail_place
builtby	由
varna	瓦尔纳
v_hb	v_hb
founding_guru	founding_guru
Audio signal	音频信号
School attended	学校参加
Best Performance	最佳性能
general chairman	总董事长
call letter meaning	呼叫信含义
total capacity	总容量
Exec. Producer	exec。制片人
Thickness	厚度
Key Players	关键球员
elected	当选
Serial number	序列号
Main export partners	主要出口合作伙伴
constituency_AM10	constituency_am10
deputy head	副组长
current commander	现任指挥官
legislature_title2	legislature_title2
offonshore	offonshore
SBK Fastest laps	SBK最快圈速
Notable works	值得注意的作品
population_name2	population_name2
Diameter / width of water wheel	砂轮直径/宽度
best_result_in_2007	best_result_in_2007
monastic tonsure	寺院剃度
latin_letter	latin_letter
WNC prev	WNC沪指
notice	通知
Website/contact	网站/联系
UNTERNEHMEN	企业
authorised	授权
image_map_title	image_map_title
elementary_principle	elementary_principle
transportation-sections	运输部门
Teachers	教师
chaplains	牧师
granddam	老太婆
ostal_code	ostal_code
Origen	俄利根
Men	男人
Original members	原始成员
altname6	altname6
parent department	家长部
screen play	屏幕播放
osm_id	osm_id
life coach	生活教练
postdoctoral_advisors	postdoctoral_advisors
tamil_name	tamil_name
Bow shock	弓激波
os grid reference	操作系统网格参考
800series	800series
originorigin	originorigin
commander nickname	指挥官绰号
FL2_Team	fl2_team
Current skill divisions	目前技能师
last_show	last_show
map image caption	地图图像描述
subunit_genes	subunit_genes
Original Recording Vocalists	原始记录的歌手
principal (Penn Middle)	校长（宾）
series_winner	series_winner
IIHF max date	国际冰联最大日期
irishw	irishw
halfbrothers	halfbrothers
simpstagename	simpstagename
KARTE-BESCHREIBUNG	karte-beschreibung
Depots	仓库
irishc	irishc
add music	添加音乐
length_total_mi2	length_total_mi2
cupdate	cupdate
asst priest	助理牧师
Chief Nameplate Engineer	首席铭牌工程师
Core values	核心价值观
programer	程序员
Australian of the Year	澳大利亚的一年
Aunt	阿姨
monarch10	monarch10
monarch11	monarch11
coachname	coachname
religious views	宗教观
company_purpose	company_purpose
type of organization	组织形式
legalised	合法化
Vidhansabha_constituency	vidhansabha_constituency
media_affiliates	media_affiliates
intel	英特尔
Prebendary	受俸牧师
possible immediate causes	可能的直接原因
field_of_study	field_of_study
built area	建成区
customer_service	customer_service
generalsecretary	总书记
Company Affiliation	公司归属
cup winner	优胜者杯
ceased_publication	ceased_publication
Recognition	识别
jr/sr	JR / SR
assistant-principal	助理校长
buried at	埋葬
pass_rank	pass_rank
kickbox_decwin	kickbox_decwin
Board Members	董事会成员
Truck_Top_Tens	truck_top_tens
other section acts1	另一部分为
Date_first_use	date_first_use
other section acts3	另一部分acts3
brand origin	品牌起源
cable avail	电缆效用
lieutenancy_england	lieutenancy_england
Tribute	致敬
cable chan 40	电缆陈40
cable chan 41	电缆陈41
composers	作曲家
Began Operation	开始运作
patrimonio	内
longeststreak_team2	longeststreak_team2
longeststreak_team1	longeststreak_team1
Former_labels	former_labels
caplogo	caplogo
population density_km2	人口density_km2
starmagnitude	视星等
asia-series-seasons	亚洲系列季
{{allow wrap|Guthrie code	{ {允许包|格思里密码
Use_US_date	use_us_date
Term	术语
blank_sec1_info	blank_sec1_info
Congregations	教会
credit rating	信用等级
Expanded	扩大
nat_championships	nat_championships
Arts Groups	艺术团体
construction_number	construction_number
fourth-flagvar	第四flagvar
Population served	人口服务
_noextcode	_noextcode
origins	起源
Ministers removed (Death/resignation/dismissal)	部长（死亡/辞职/解雇）
race8_pole_speed	race8_pole_speed
grade5-6	grade5-6
origine	起源
origing	起始
Engine position	发动机位置
student_faculty_ratio	student_faculty_ratio
locobrakes	locobrakes
stat21value	stat21value
relative_permeability_note	relative_permeability_note
Hostel	旅舍
vietnamesename	vietnamesename
Dimensions	尺寸
shares_with	shares_with
Pictures	图片
group_name	group_name
head of civil servants	公务员主管
Interested	感兴趣
era1_stock	era1_stock
World standing	世界站立
supporting_actress_film	supporting_actress_film
other_affiliation	other_affiliation
current editors	当前编辑
Bluetooth version	蓝牙版本
Stunt Director	特技导演
Assistant Principal	助理校长
phd students	博士生
Music Directer	音乐导演
Grade levels	等级水平
publishedOT	publishedot
name_Chinese	name_chinese
Fewest Selections	最少的选择
indexOEIS	indexoeis
chie executive	首席执行官
built_in	built_in
previous_year	previous_year
image-witdh	图像witdh卫生
Distances	距离
dean_name	dean_name
Quiver	颤抖
criminal_penalty	criminal_penalty
name5b	name5b
volcanoes	火山
Ladies Captain	女船长
best in national costume	最好的民族服装
Founded_date	founded_date
caption_coa	caption_coa
Original Title	原标题
Disc_ID	disc_id
date de mise à jour	日期de MISEà怨妇
womens_umpire	womens_umpire
Sitio_web	sitio_web
Routable	路由
News Director	新闻导演
IT_U	it_u
font color	字体颜色
Proclamation	宣言
image_coat2	image_coat2
Affiliation No	从属关系
IT_B	it_b
dress code	着装规范
Co Producer	联合制片人
parts1	第一部分
Reverse Image Size	反向图像大小
IT_E	it_e
IT_L	it_l
alumnae chapters	校友章
owner1	owner1
altitude (meters)	高度（米）
Web address	网络地址
appearances13	appearances13
1stishyr	1stishyr
athletic affiliation	运动联系
link1-name	link1名称
inside camera	相机内
subtitles	字幕
War date 2	战争日2
instrument_7_name	instrument_7_name
subunit_ratio_1	subunit_ratio_1
conitient	conitient
owner.	所有者。
basin_districts	basin_districts
reseidence	reseidence
belief	信仰
society_membership	society_membership
aircraft3type	aircraft3type
data2a	data2a
consecration(catholic)	奉献（天主教）
subdivision_name –	subdivision_name–
Global 200	全球200
skyline_size	skyline_size
plane1_name	plane1_name
prev-tournament	昨日的比赛
CMUP	cmup
turbo fitted	涡轮增压
percent_GDP	percent_gdp
Ship armor	舰船装甲
runner-origin	流道起源
Other Albums	其他专辑
Regiment/Service	团/服务
excutive producer	执行制片人
trustee member	受托人
homecaptain	homecaptain
finals_MVP	finals_mvp
latest test date	最新测试日期
Ladies European Tour	欧洲之旅
found	发现
supervillain	巨人
Relative(s)	相对（的）
gazetted	刊宪
emblematic_tree	emblematic_tree
Pole_driver_r2	pole_driver_r2
plane1_image	plane1_image
bowl_list	bowl_list
Pole_driver_r1	pole_driver_r1
Density	密度
Sanitation coverage (broad definition)	卫生覆盖范围（广义定义）
Flash	闪光
highest elevation_footnotes	最高elevation_footnotes
arname	arname
highways	公路
leadertitle	leadertitle
terminus_a-LON	terminus_a-lon
Music videos	音乐视频
urdu	乌尔都语
Body composition or special features	身体组成或特殊功能
Ethnic sumu	民族苏木
prev_name5	prev_name5
president elect	当选总统
Patron Saint	圣徒
current_command_sergeant_major	current_command_sergeant_major
Designer	设计师
Fast_Rider_250	fast_rider_250
young	年轻的
reprint pub_date	转载pub_date
consagración	consagración
Designed	设计
head-chef	厨师长
ArguedYear	arguedyear
event1label	event1label
type of nhs	型保健
Captain4Year	captain4year
Player/Manager	球员/经理
official street team	官方街队
Route ID	路线标识
AC_category	ac_category
reopened	重新开放
secretar	被美国
final3league	final3league
Logosize	logosize
Foundeed	foundeed
Bill Number 9	比尔数9
Bill Number 8	比尔数8
mixing	混合
Managers	经理
Expansion Name	扩展名
Bill Number 4	4号法案
Short stories	短篇小说
Bill Number 2	2号法案
Bill Number 1	比尔数1
cause_of_death.	cause_of_death。
birth_death	birth_death
magic	魔术
replacement5	replacement5
transmission	传输
Total number of ministers	部长总数
logo_size	logo_size
Headerquaters	headerquaters
Weight_kg	weight_kg
alleigance	alleigance
mnw-Latn	latn MNW
forane	远处
origisbn1-info	origisbn1信息
coadjutor bishop	教区助理主教
commercial Manager	商业经理
Cyberpunk	赛博朋克
Vice president	副总统
cflstatweek	cflstatweek
Mean motion	平均运动
pledge	质押
iplant	我厂
Second_Rider_350_Bike	second_rider_350_bike
gnwtv_legal	gnwtv_legal
Opinion editor	意见编辑
current_points	current_points
licensee	被许可方
licensed	许可
OCLC no.	OCLC号
1Option colour	1option颜色
hardnessMohs scale	hardnessmohs规模
population_density sq_mi	population_density sq_mi
established_type2	established_type2
spouse 4	配偶4
2012-13	2012-13年
public service	公共服务
spouse 2	配偶2
Uploaded	上传
know_for	know_for
Number of mateches	一些mateches
britishleague	britishleague
Student Government	学生政府
debut1date	debut1date
May_Lo_°F	may_lo_°F
IIHF min	国际冰联min
currently based in	目前基于
prevexpo	prevexpo
Teamname	teamname
super14update	super14update
Domain expertise	领域专长
palgrid	palgrid
Highest ranking	最高排名
Flood Lights	洪水灯
dating	约会
Tibetan	西藏
Variant models	变量模型
edbr	依达波尔
utc_ofpfset1	utc_ofpfset1
Notable characters	显著特征
alma_matar	alma_matar
Most Driver	大多数司机
air time	空气时间
highest singlesranking	最高singlesranking
Infobox caption	信息框的标题
robust_struct_abandoned	robust_struct_abandoned
current products	现有产品
Similar Artists	相似的艺术家
Firstaired	firstaired
Endorsements	代言
term-start	学期开始
league_cup	league_cup
Host galaxy	寄主星系
manageyears19	manageyears19
manageyears18	manageyears18
Retired	退休了
service years	服务年
Convener of the	召集人的
conference2_losses	conference2_losses
manageyears12	manageyears12
manageyears11	manageyears11
manageyears10	manageyears10
elevation-y	elevation-y
manageyears16	manageyears16
manageyears15	manageyears15
Locus	轨迹
Mgr. Editor	经理。编辑
elevation-f	elevation-f
num_CPAs	num_cpas
elevation-m	elevation-m
pin22	pin22
pin23	pin23
pin20	pin20
pin21	pin21
pin26	pin26
pin27	Pin27
pin24	pin24
pin25	pin25
Judicial Vicar	司法的牧师
hometown	家乡
pin28	pin28
pin29	pin29
Recording engineer	录音工程师
Sommelier	侍酒师
instrument_4_name	instrument_4_name
assistant_producer	assistant_producer
future_members	future_members
Status	现状
staff_writers	staff_writers
per shift	每班
total_passengers	total_passengers
Desert Classic	沙漠经典
worldt20_qualifier_best	worldt20_qualifier_best
nobel	诺贝尔
Rōmaji	Rō马吉
ci2	C12
image_com	image_com
Chart Position	海图位置
image_coa	image_coa
parent_organization2	parent_organization2
Promajors	promajors
brakws	brakws
Year delivered	年交付
Core Purpose	核心目的
apps9	apps9
apps8	apps8
inches	英寸
apps5	apps5
apps4	apps4
apps7	apps7
apps1	apps1
Central Library Web Site	中央图书馆网站
apps3	apps3
apps2	apps2
imagelink	imagelink
circle_code	circle_code
Past_member	past_member
MD2	MD2
Military Medals	军事勋章
Special Thanks	特别感谢
efferents	传出神经
number of co-sponsors	共同提案国数量
Subheader	子标题
image_titlr_1	image_titlr_1
Finals Site	总决赛场地
Pole_Rider_80_Country	pole_rider_80_country
demographics2_title4	demographics2_title4
area_rural_ha	area_rural_ha
club president	俱乐部主席
sleepers	枕木
commanding officer	指挥官
onderschrift	onderschrift
livedepline	livedepline
Abbot	方丈
uk	英国
Arrests DUI	逮捕酒后驾车
Adoptive granddaughters	养孙女
RU_position	ru_position
demographics2_title5	demographics2_title5
event_start2	event_start2
gene3name	gene3name
Assistant_principal	assistant_principal
best_perform_show	best_perform_show
Second_driver_country_r1	second_driver_country_r1
Event summary	事件概要
established_type1	established_type1
former ground(s)	前地（的）
seats8_before	seats8_before
mission president	特派团主席
Oct rain days	月雨日
Incarnation	化身
line1	1
rawimage	rawimage
Permanent Faculty	永久教职员工
website_url	website_url
reconstruction_start	reconstruction_start
yesorretiredyear	yesorretiredyear
Nick names	昵称
NomenHiero	nomenhiero
consecrated_year	consecrated_year
Closing ceremony	闭幕式
metropolitian_borough	metropolitian_borough
Acid value	酸值
Humidity	湿度
Live albums	活专辑
ferries	渡船
deputy_commander	deputy_commander
scrap/Rebuild date	废料/重建日期
Worked on	工作
Twenty20debutfor	twenty20debutfor
male_population	male_population
college dean	学院院长
data140	data140
data141	data141
holes	孔
nationalcapsgoals1	nationalcapsgoals1
president emeritus	名誉主席
height_max	height_max
Ribbon	丝带
subdivtype1	subdivtype1
birth_date birth_date	birth_date birth_date
confederation	联合会
ministrybegin	ministrybegin
rangeShutter speed	rangeshutter速度
Fast_Passenger_Sidecar_B2B	fast_passenger_sidecar_b2b
session1_type	session1_type
clubs8.	clubs8。
photo by	照片
FB	FB
testsNuclear	testsnuclear
Associate banner	副旗
previous_producers	previous_producers
mr. fhs	FHS先生
beta 2.0 released	β2释放
Agriculture start	农业开始
countrylink	公司
favourite historical figures	最喜欢的历史人物
political affiliations	政治背景
region5	地域
linenumber	行号
Brigde_Commander	brigde_commander
gm1_ei	gm1_ei
ordinary income	普通收入
biggest win SC Heerenveen	最大的胜利海伦芬
Japan Winner	日本冠军
race4_pole	race4_pole
Other Charted Songs link	其他绘制的歌曲链接
Propeller	螺旋桨
deputy_president	deputy_president
dau	DAU
abolished_date	abolished_date
data of birth	出生数据
Pretender(s)	伪装者（S）
Apr rain mm	月雨mm
old website	老网站
photo-caption	照片标题
Seat holder(s)	座椅支架（的）
team_color	team_color
Prize money leader	奖金领袖
epicenter	震中
Second section length	二段长度
ATC code	ATC代码
school days	学校日
num-episodes	Num发作
co-executive_producer	co-executive_producer
Current MP	现在的国会议员
publishing country	出版国
dean of students	学生系主任
current distributor	电流分配器
manuscript	手稿
seat_type1	seat_type1
Members of Parliament	议会议员
cnumber	号
end3	END3
theater_name	theater_name
Program	程序
FIH ranking	富士康排名
end5	END5
Third_Rider_500_Bike	third_rider_500_bike
cargo_mass_gas	cargo_mass_gas
tubeexits11	tubeexits11
tubeexits10	tubeexits10
tubeexits13	tubeexits13
tubeexits12	tubeexits12
Audiography	测听术
auflage_quelle	auflage_quelle
length_mi♦	length_mi♦
municipal_Chairman	municipal_chairman
system	系统
collegecaps1	collegecaps1
Number of towers	塔数
largest major	最大的专业
Leermasse	leermasse
ministryend4	ministryend4
given name	给定名称
shorts	短裤
adaptor	适配器
Special Awuard	特别awuard
GVWT	gvwt
vice principal	副校长
ministryend3	ministryend3
Campus area	校园面积
Top point-scorer2	顶point-scorer2
image_dimensions	image_dimensions
War 3	战争3
War 2	战争2
Education 3	教育3
Education 2	教育2
capacity for toluene	甲苯容量
War 4	战争4
Associate 7 start	关联7开始
marketing manager	市场部经理
main editor	主要编辑
Controlled churches	控制教堂
region-iso	区域国际标准
vice rector / campus minister	校长/学校部副部长
Current owner	目前的所有者
term4a	term4a
nominator	提名人
Student wing	学生翅膀
pro-Vice Chancellor	临副校长
stage4fuel	stage4fuel
middle school	中学
dialect of	方言
WTAChampionsresult	wtachampionsresult
lastT20Iyear	lastt20iyear
receptionist	接待员
service number	服务号
Focuses	重点
Area of Law	法律领域
Compiled	编译
Member of Parliament	议会议员
chiefs title	酋长头衔
PDB_supplemental	pdb_supplemental
Total_Busch_Races	total_busch_races
poolnames	poolnames
innovator	创新者
internationalyears4	internationalyears4
Largest Metro	最大的地铁
Compiler	编译器
Top 10%20income	前10% 20income
